> 6 25
> 7 25
> 7 25
> 6 25
> 7 25
> 7 25
> 6 25
> 6 25
> 7 25
> 6 25
> 5 25
> 4 25
> 5 25
> 7 25
> 7 25
> 6 25
> 6 25
> 7 25
> 6 25
> 5 25
> 6 25
> 7 25
> 7 25
> 5 25
> 5 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 7 25
> 7 25
> 6 25
> 6 25
> 7 25
> 7 25
> 5 25
> 7 25
> 6 25
> 5 25
> 5 25
> 4 25
> 5 25
> 7 25
> 7 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 5 25
> 5 25
> 4 25
> 5 25
> 5 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 4 25
> 5 25
> 5 25
> 4 25
> 6 25
> 7 25
> 5 25
> 4 25
> 4 25
> 4 25
> 5 25
> 5 25
> 5 25
> 5 25
> 11 25
> 12 25
> 4 25
> 5 25
> 4 25
> 4 25
> 4 25
> 5 25
> 7 25
> 7 25
> 6 25
> 6 25
